,Positive Emotion,Assent,Positive sentiment calculated by VADER,Negative sentiment calculated by VADER,Negative Emotion,Anxiety,Anger,Sad,Dissent
Social,0.016070396384402923,0.0017603687826040785,0.06477210792965676,0.11065661586460822,0.0017423703222580274,0.008305849470967441,0.0021303253911105573,0.10106941899687831,0.0007666107557879876
Family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feel,0.014788811737912253,0.0013854814153782796,0.0779767566409595,0.05493786418166193,0.0017047265272916714,0.006863186386661518,0.002858971758560034,0.09048159194006448,0.0006382443285406211
Body,0.03695125946318538,0.0015255086909377266,0.1141800115392014,-0.07127494070132703,0.0021351271579312025,0.02783653168615763,0.002996313817508479,0.08085015838583559,0.0005749022408970673
Sexual,0.06122058069730598,0.0022405419333380375,0.14452759933380874,-0.061012812276944495,0.002200649328279815,0.050243770431624805,0.0019348301631877047,0.0803114277611625,0.0005036834305135692
Work,0.011217704410908505,0.0013941829566658332,0.051093082370744995,0.14192877596623213,0.0012193707849634556,0.0045444002906124235,0.002303093159410163,0.08155192130237304,0.0005665021970086422
Achievement,0.016882462091559004,0.0013830035055173967,0.061636281791581884,0.21035617504261112,0.0014060241756484223,0.006543486860983174,0.005389931471651229,0.09252558798299952,0.0005810584546931353
Home,0.010140431035111214,0.0012962074769515,0.045460797034291046,0.03135243744207639,0.0016325894825034578,0.003630390105409194,0.0020190309284495544,0.07093543259537105,0.00044146397622915764
Death,0.04992609498528166,0.0014413560675469515,0.25366560846560726,-0.40592236331569787,0.002763389424110992,0.040337036789971914,0.003330991339407097,0.06970073700296146,0.001029899472194043
Money,0.010712097302096806,0.0016001395445227314,0.05543677407826564,0.12761365775210157,0.0011925667693257602,0.004776834026153335,0.0018829590192120833,0.08447646738015326,0.000512336760796908
Religion,0.021952434266560465,0.0020475947947502632,0.083969182389937,-0.0241272201257861,0.002108991302977065,0.011530870149960664,0.002758590070265033,0.08324453347575045,0.0005944107350827778
